"AIB","20170620","0.82","0.82","0.82","0.82","0"
"AIQ","20170620","0.077","0.077","0.077","0.077","2650"
"AIR","20170620","0.067","0.067","0.067","0.067","0"
"AIS","20170620","0.039","0.041","0.039","0.041","14706"
"AIV","20170620","0.12","0.12","0.12","0.12","0"
"AIY","20170620","0.013","0.013","0.013","0.013","7000"
"AIZ","20170620","3.08","3.14","3.08","3.10","586609"
"AJA","20170620","6.48","6.54","6.45","6.48","84853"
"AJC","20170620","0.004","0.004","0.004","0.004","8070167"
"AJD","20170620","1.73","1.75","1.73","1.74","102212"
"AJJ","20170620","0.10","0.10","0.10","0.10","0"
"AJL","20170620","0.24","0.25","0.24","0.24","142881"
"AJM","20170620","0.135","0.14","0.135","0.135","807626"
"AJO","20170620","1.79","1.79","1.79","1.79","0"
"AJQ","20170620","0.074","0.075","0.073","0.073","430066"
"AJX","20170620","0.52","0.525","0.515","0.515","211937"
"AJY","20170620","0.18","0.18","0.18","0.18","0"
"AKF","20170620","0.06","0.06","0.06","0.06","0"
"AKG","20170620","0.17","0.17","0.17","0.17","7833"
"AKM","20170620","0.018","0.018","0.017","0.017","785283"
"AKN","20170620","0.006","0.006","0.006","0.006","309400"
"AKP","20170620","17.00","17.50","17.00","17.36","21596"
"AKPJOA","20170620","8.71","8.71","8.71","8.71","0"
"AL8","20170620","0.42","0.44","0.41","0.44","65398"
"ALC","20170620","0.062","0.065","0.062","0.065","390551"
"ALF","20170620","1.23","1.23","1.215","1.215","269217"
"ALI","20170620","1.83","1.835","1.82","1.82","107196"
"ALK","20170620","0.23","0.23","0.215","0.215","864413"
"ALL","20170620","23.06","23.32","23.03","23.08","1936691"
"ALLIOV","20170620","9.83","9.83","9.83","9.83","0"
"ALLKOA","20170620","9.66","9.66","9.66","9.66","0"
"ALLKOB","20170620","6.94","6.94","6.94","6.94","0"
"ALLKOD","20170620","15.49","15.49","15.49","15.49","1000"
"ALLKOG","20170620","13.26","13.26","13.26","13.26","0"
"ALLKOV","20170620","4.46","4.46","4.46","4.46","0"
"ALLSMY","20170620","4.68","4.68","4.68","4.68","0"
"ALQ","20170620","7.00","7.01","6.91","6.92","1470079"
"ALQKOA","20170620","1.885","1.885","1.885","1.885","0"
"ALQKOC","20170620","1.245","1.245","1.245","1.245","0"
"ALQKOE","20170620","2.43","2.43","2.43","2.43","0"
"ALQKOF","20170620","3.74","3.74","3.74","3.74","0"
"ALQKOT","20170620","0.815","0.815","0.815","0.815","0"
"ALR","20170620","1.17","1.17","1.15","1.15","90755"
"ALT","20170620","0.005","0.005","0.005","0.005","2410000"
"ALTOA","20170620","0.003","0.003","0.003","0.003","0"
"ALU","20170620","9.08","9.16","9.02","9.10","305632"
"ALUKOA","20170620","1.675","1.675","1.675","1.675","0"
"ALUKOB","20170620","2.92","2.92","2.92","2.92","0"
"ALY","20170620","0.018","0.018","0.018","0.018","596591"
"AMA","20170620","0.97","0.975","0.955","0.975","117435"
"AMB","20170620","0.16","0.16","0.16","0.16","19000"
"AMC","20170620","16.64","16.78","16.55","16.70","4064707"
"AMCIOV","20170620","7.19","7.19","7.19","7.19","0"
"AMCISI","20170620","7.70","7.70","7.70","7.70","0"
"AMCJOA","20170620","4.02","4.02","4.02","4.02","0"
"AMCJOZ","20170620","8.72","8.72","8.72","8.72","0"
"AMCKOA","20170620","2.92","3.05","2.88","3.04","15000"
"AMCKOC","20170620","4.37","4.37","4.37","4.37","1000"
"AMCKOE","20170620","3.23","3.23","3.23","3.23","0"
"AMCKOP","20170620","2.93","2.93","2.93","2.93","0"
"AMCKOS","20170620","2.51","2.51","2.51","2.51","0"
"AMCSSA","20170620","10.52","10.52","10.52","10.52","952"
"AMCSSE","20170620","4.65","4.65","4.65","4.65","0"
"AMCSWR","20170620","8.33","8.33","8.33","8.33","0"
"AME","20170620","0.071","0.073","0.071","0.073","605024"
"AMG","20170620","0.079","0.08","0.078","0.078","106400"
"AMH","20170620","0.90","0.90","0.895","0.895","90782"
